season,n_train,n_test,n_dropoffs_train,n_dropoffs_test,dropoff_rate_train,dropoff_rate_test,test_auc,test_ap
2010,100,59,26,16,0.26,0.2711864406779661,0.7296511627906976,0.46756947584952696
2011,159,80,42,27,0.2641509433962264,0.3375,0.9161425576519916,0.8722030912962022
2012,239,98,69,31,0.28870292887029286,0.3163265306122449,0.8608570052961001,0.7056641423490229
2013,337,131,100,44,0.29673590504451036,0.33587786259541985,0.9149686520376175,0.8822308493983382
2014,468,167,144,64,0.3076923076923077,0.38323353293413176,0.8212226941747574,0.752649807017663
2015,635,223,208,102,0.32755905511811023,0.45739910313901344,0.8811375789985417,0.8707285048879471
2016,858,257,310,114,0.3613053613053613,0.44357976653696496,0.8851674641148325,0.869037233436674
2017,1115,287,424,139,0.38026905829596414,0.4843205574912892,0.8814894030721369,0.8677546628243432
2018,1402,280,563,123,0.4015691868758916,0.4392857142857143,0.8712132981202424,0.8108440991333887
2019,1682,283,686,130,0.40784780023781214,0.45936395759717313,0.8937657114127703,0.8769133812825969
2020,1965,302,816,145,0.4152671755725191,0.48013245033112584,0.9017790467823413,0.8852631491989699
2021,2267,301,961,145,0.4239082487869431,0.48172757475083056,0.9134394341290893,0.9085792434478309
2022,2568,305,1106,165,0.43068535825545173,0.5409836065573771,0.8843290043290043,0.9015422371646971
2023,2873,309,1271,162,0.44239470936303515,0.5242718446601942,0.8699924414210128,0.8861641077502966
2024,3182,307,1433,150,0.45034569453174106,0.48859934853420195,0.852484076433121,0.8781163114897325
