player_name,position,recent_team,fantasy_points,dropoff_probability,predicted_dropoff,risk_tier
J.Dobbs,QB,SF,30.84,0.9107113103277964,1,High Risk
D.Ridder,QB,LV,21.92,0.906141182388103,1,High Risk
Z.Moss,RB,CIN,58.9,0.8973895643860068,1,High Risk
R.Rice,WR,KC,40.900000000000006,0.8933848810787591,1,High Risk
R.Shaheed,WR,NO,61.8,0.8893078752320533,1,High Risk
D.Prescott,QB,DAL,116.52,0.8882720479393474,1,High Risk
J.Browning,QB,CIN,-0.2,0.8866761073336393,1,High Risk
B.Aiyuk,WR,SF,37.4,0.882582842227982,1,High Risk
K.Johnson,WR,TB,1.1,0.8784484483584888,1,High Risk
L.Musgrave,TE,GB,4.5,0.8713652307469003,1,High Risk
I.Pacheco,RB,KC,44.9,0.8695890211581907,1,High Risk
E.Engram,TE,JAX,42.5,0.8682889243479479,1,High Risk
D.Chark,WR,LAC,9.1,0.8679474260681502,1,High Risk
C.Olave,WR,NO,44.7,0.8678246435932693,1,High Risk
C.McCaffrey,RB,SF,32.8,0.8673258215131965,1,High Risk
T.Bagent,QB,CHI,-0.26,0.8627429474435239,1,High Risk
J.Reynolds,WR,DEN,25.4,0.8591104804291375,1,High Risk
K.Mitchell,RB,BAL,5.8,0.8590627052549883,1,High Risk
D.Carr,QB,NO,150.9,0.8573256594415875,1,High Risk
P.Nacua,WR,LA,127.6,0.8572588156473916,1,High Risk
B.Jordan,TE,HOU,0.7,0.8521949760154963,1,High Risk
K.Osborn,WR,NE,11.7,0.8500012599043875,1,High Risk
G.Edwards,RB,LAC,61.1,0.8481553377325737,1,High Risk
M.Brown,WR,KC,9.1,0.8466696939417,1,High Risk
I.Hodgins,WR,NYG,1.2,0.8457200229509083,1,High Risk
D.Njoku,TE,CLE,84.5,0.8442852645538333,1,High Risk
T.Lawrence,QB,JAX,145.7,0.8441143874474912,1,High Risk
B.Cooks,WR,DAL,43.6,0.8427877399083381,1,High Risk
G.Davis,WR,JAX,33.9,0.8417175197869794,1,High Risk
