test_season,position,n_predictions,actual_dropoff_rate,avg_predicted_prob
2010,FB,2,0.0,0.144
2010,QB,20,0.2,0.295
2010,RB,11,0.455,0.282
2010,TE,10,0.3,0.271
2010,WR,16,0.25,0.267
2011,FB,3,0.667,0.41
2011,QB,23,0.348,0.314
2011,RB,15,0.533,0.319
2011,TE,18,0.278,0.281
2011,WR,21,0.19,0.248
2012,CB,1,1.0,0.475
2012,FB,4,0.5,0.298
2012,QB,25,0.28,0.351
2012,RB,17,0.235,0.342
2012,TE,19,0.368,0.274
2012,WR,32,0.312,0.266
2013,FB,4,0.25,0.269
2013,QB,29,0.345,0.328
2013,RB,29,0.414,0.357
2013,TE,23,0.348,0.317
2013,WR,46,0.283,0.279
2014,FB,4,0.5,0.385
2014,QB,33,0.364,0.377
2014,RB,36,0.333,0.342
2014,TE,33,0.455,0.351
2014,WR,61,0.377,0.329
2015,DB,1,1.0,0.488
2015,FB,4,0.5,0.323
2015,QB,38,0.316,0.372
2015,RB,56,0.446,0.432
2015,TE,43,0.581,0.389
2015,WR,81,0.457,0.37
2016,FB,7,0.714,0.39
2016,QB,39,0.462,0.39
2016,RB,69,0.478,0.46
2016,TE,47,0.383,0.473
2016,WR,95,0.421,0.376
2017,CB,1,1.0,0.114
2017,DT,1,0.0,0.098
2017,FB,4,0.5,0.499
2017,QB,44,0.432,0.412
2017,RB,75,0.507,0.435
2017,TE,53,0.472,0.435
2017,WR,109,0.495,0.449
2018,FB,2,0.5,0.436
2018,QB,42,0.405,0.429
2018,RB,76,0.5,0.463
2018,TE,53,0.434,0.436
2018,WR,107,0.411,0.407
2019,CB,1,1.0,0.691
2019,FB,1,0.0,0.569
2019,FS,1,1.0,0.371
2019,QB,40,0.5,0.465
2019,RB,71,0.437,0.448
2019,TE,54,0.444,0.47
2019,WR,115,0.461,0.466
2020,FB,4,0.75,0.486
2020,FS,2,0.5,0.331
2020,QB,44,0.455,0.479
2020,RB,85,0.529,0.499
2020,TE,52,0.462,0.425
2020,WR,115,0.452,0.47
2021,CB,1,0.0,0.525
2021,FB,1,1.0,0.561
2021,QB,40,0.5,0.476
2021,RB,77,0.429,0.477
2021,TE,59,0.441,0.446
2021,WR,123,0.528,0.488
2022,FB,1,1.0,0.292
2022,QB,50,0.56,0.497
2022,RB,86,0.581,0.505
2022,TE,52,0.615,0.519
2022,WR,116,0.466,0.484
2023,FB,4,1.0,0.592
2023,QB,46,0.565,0.55
2023,RB,77,0.519,0.459
2023,T,1,0.0,0.608
2023,TE,55,0.491,0.458
2023,WR,126,0.516,0.461
2024,FB,2,0.5,0.49
2024,QB,50,0.42,0.544
2024,RB,75,0.44,0.505
2024,SS,1,1.0,0.562
2024,TE,54,0.5,0.494
2024,WR,125,0.536,0.502
